total,SD,WM,not SD,not WM,timestep
,,,,,5
,,,,,10
2.611111111111111,1.8181818181818181,1.9090909090909092,2.7,2.6,15
2.25,0.6363636363636364,0.6923076923076923,2.4166666666666665,2.7,20
2.1379310344827585,0.76,1.0,1.5925925925925926,1.3846153846153846,25
1.6296296296296295,0.6666666666666666,0.75,1.1724137931034482,1.2083333333333333,30
1.32,0.6153846153846154,0.5,0.7391304347826086,0.9473684210526315,35
1.4285714285714286,0.7142857142857143,0.7142857142857143,0.5882352941176471,0.5882352941176471,40
1.5,0.6666666666666666,0.75,1.0769230769230769,1.0909090909090908,45
1.3333333333333333,0.38461538461538464,0.46153846153846156,1.4,1.2,50
