total,WM,SD,both,neither,timestep
24,5,7,3,15,0
24,5,7,3,15,1
24,5,7,3,15,2
30,6,7,3,20,3
36,7,7,3,25,4
37,11,9,7,24,5
48,15,12,9,30,6
60,22,15,12,35,7
72,25,18,15,44,8
80,29,21,18,48,9
88,31,23,20,54,10
101,36,25,22,62,11
109,39,28,25,67,12
117,46,34,31,68,13
125,54,43,39,67,14
112,47,37,33,61,15
124,53,44,40,67,16
127,52,45,40,70,17
131,55,45,40,71,18
142,58,46,40,78,19
141,56,42,37,80,20
138,54,42,36,78,21
131,53,40,35,73,22
127,51,40,35,71,23
124,52,41,36,67,24
116,51,40,36,61,25
119,51,41,36,63,26
114,52,43,38,57,27
108,51,43,38,52,28
105,48,41,36,52,29
97,47,42,37,45,30
93,43,37,33,46,31
87,40,34,30,43,32
80,41,33,30,36,33
71,35,27,24,33,34
67,33,23,21,32,35
63,29,22,18,30,36
61,28,23,19,29,37
56,25,22,18,27,38
55,27,24,20,24,39
47,26,21,19,19,40
44,22,18,16,20,41
46,21,18,16,23,42
46,23,18,16,21,43
42,22,18,16,18,44
39,23,20,17,13,45
38,21,18,15,14,46
35,17,15,12,15,47
33,15,13,10,15,48
30,11,10,6,15,49
30,13,10,8,15,50
