total,SD,WM,not SD,not WM,both,neither,timestep
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
1.8,1.3333333333333333,0.7142857142857143,0.5,4.0,0.8,0.0,15
2.0,0.5,1.0,2.5,3.0,0.5,3.0,20
2.0,1.5,1.3333333333333333,2.5,3.0,1.4,4.0,25
2.4,0.6,0.75,2.25,6.0,0.6,6.0,30
4.166666666666667,0.8,0.7142857142857143,4.2,6.666666666666667,0.8,6.666666666666667,35
1.9,1.0,1.1428571428571428,1.6,1.5,0.8888888888888888,6.666666666666667,40
2.0,0.6875,0.6666666666666666,2.4285714285714284,3.2,0.6875,3.2,45
1.4,0.5,0.5384615384615384,1.25,2.3333333333333335,0.5,2.3333333333333335,50
2.25,0.42857142857142855,0.4117647058823529,2.0,3.6666666666666665,0.42857142857142855,3.6666666666666665,55
3.5,0.75,0.6666666666666666,4.0,8.0,0.75,8.0,60
1.75,0.7142857142857143,0.6153846153846154,1.2857142857142858,6.0,0.7142857142857143,6.0,65
1.9,0.6923076923076923,0.7142857142857143,2.5,3.0,0.75,4.5,70
1.8,0.8333333333333334,0.75,1.4444444444444444,3.0,0.8333333333333334,3.0,75
3.0,1.0,0.5,1.0,2.0,0.8,2.0,80
1.3636363636363635,0.7142857142857143,0.7647058823529411,0.8333333333333334,0.6666666666666666,0.75,1.0,85
2.3333333333333335,0.42857142857142855,0.5555555555555556,2.2,3.0,0.3333333333333333,4.0,90
3.3333333333333335,0.14285714285714285,0.14285714285714285,4.5,4.5,0.14285714285714285,4.5,95
1.5714285714285714,1.2222222222222223,0.75,0.0,2.5,0.8571428571428571,4.5,100
2.0,0.0,0.3333333333333333,1.5,2.0,0.0,4.0,105
2.75,0.0,0.4,1.8333333333333333,3.0,0.0,3.0,110
4.0,0.375,0.6,2.5,1.0,0.75,5.0,115
4.333333333333333,0.7142857142857143,0.7142857142857143,4.0,4.0,0.8333333333333334,8.0,120
1.7142857142857142,0.4444444444444444,0.6363636363636364,2.6666666666666665,5.0,0.4444444444444444,5.0,125
2.0,0.6,0.8571428571428571,1.5,5.0,0.6,5.0,130
2.0,1.6666666666666667,1.2,0.5,5.0,1.6666666666666667,5.0,135
1.0,0.3333333333333333,0.3333333333333333,0.5,5.0,0.3333333333333333,5.0,140
2.3333333333333335,0.3333333333333333,0.6666666666666666,1.4,2.5,0.3333333333333333,2.5,145
2.5,0.3333333333333333,0.3333333333333333,4.0,4.0,0.3333333333333333,4.0,150
1.5,0.6,0.25,4.0,2.0,0.25,4.0,155
1.0,1.0,0.25,4.0,1.0,0.25,4.0,160
1.0,1.0,0.0,0.0,1.0,0.25,4.0,165
1.0,0.0,0.0,0.0,0.0,0.0,4.0,170
