S,I,R,WM,SD,death,mild,severe,asymptomatic,timestep
1995,5,0,372,456,0,0,0,0,0
1995,5,0,372,456,0,0,0,0,1
1995,5,0,372,456,0,0,0,0,2
1995,5,0,372,456,0,0,0,0,3
1995,5,0,372,456,0,0,0,0,4
1985,15,0,372,456,0,0,0,0,5
1981,19,0,373,456,0,1,0,0,6
1974,26,0,375,457,0,3,0,2,7
1962,38,0,375,457,0,3,0,2,8
1946,54,0,376,458,0,5,0,6,9
1931,69,0,377,459,0,7,0,7,10
1917,83,0,381,463,0,11,1,10,11
1900,100,0,386,465,0,16,1,11,12
1885,114,0,389,469,1,19,1,18,13
1857,142,0,395,479,0,29,1,20,14
1828,167,4,399,485,0,37,2,23,15
1796,199,4,405,489,0,42,8,30,16
1765,229,4,413,495,1,48,10,35,17
1737,253,4,415,496,4,58,8,40,18
1706,273,14,426,509,1,73,9,41,19
1664,311,17,441,526,1,95,11,48,20
1643,323,24,449,536,2,104,13,60,21
1603,353,32,459,547,2,112,19,63,22
1564,379,44,464,547,1,113,22,68,23
1522,405,58,473,550,2,117,27,74,24
1487,425,70,476,554,3,120,27,90,25
1442,449,86,480,559,5,128,24,98,26
1391,485,98,492,573,3,141,26,106,27
1347,500,123,495,578,4,144,31,110,28
1287,530,151,489,575,2,145,30,121,29
1239,550,179,493,576,0,153,30,124,30
1178,578,208,491,573,4,160,30,129,31
1131,596,233,501,583,4,170,32,132,32
1065,628,261,505,588,6,181,31,136,33
1003,646,301,510,598,4,182,40,132,34
940,687,318,522,618,5,209,40,147,35
883,705,353,524,620,4,216,41,153,36
829,718,388,528,622,6,216,48,159,37
779,726,426,539,631,4,219,61,163,38
713,754,456,550,640,8,239,60,164,39
658,766,494,557,653,5,242,67,170,40
593,778,541,559,650,6,255,63,168,41
545,782,580,575,668,5,261,72,170,42
502,768,631,569,663,6,254,70,169,43
452,770,675,576,664,4,258,72,170,44
420,742,730,573,654,5,261,69,177,45
382,731,773,574,658,6,268,71,173,46
351,698,832,572,657,5,265,66,168,47
325,662,889,571,658,5,260,68,161,48
300,626,946,555,644,4,237,68,160,49
279,586,998,547,636,9,230,65,152,50
259,551,1047,535,618,6,217,58,147,51
242,513,1095,524,603,7,212,53,142,52
226,461,1153,504,582,10,193,41,126,53
209,426,1199,495,576,6,180,41,108,54
194,384,1250,484,560,6,172,33,89,55
187,344,1292,472,549,5,150,33,86,56
180,309,1330,457,537,4,132,30,82,57
176,263,1375,440,517,5,113,25,78,58
172,234,1404,427,509,4,97,28,73,59
163,209,1435,418,499,3,87,24,64,60
159,181,1463,403,491,4,72,21,60,61
158,158,1484,392,480,3,64,18,54,62
155,135,1508,376,467,2,50,15,49,63
154,119,1524,367,461,1,40,13,48,64
154,99,1542,360,453,2,36,9,43,65
153,82,1558,357,449,2,32,8,36,66
153,67,1571,353,445,2,28,6,28,67
153,51,1586,348,440,1,26,2,20,68
152,39,1598,342,434,1,19,2,16,69
152,34,1603,340,433,0,15,2,15,70
152,27,1610,340,432,0,12,3,10,71
152,24,1613,339,430,0,10,3,10,72
152,20,1617,337,428,0,8,3,9,73
152,11,1626,335,426,0,4,2,5,74
152,7,1630,333,423,0,1,2,4,75
152,6,1631,333,422,0,0,2,4,76
152,3,1634,332,422,0,0,1,2,77
152,2,1635,332,422,0,0,0,2,78
152,2,1635,332,422,0,0,0,2,79
152,1,1636,332,422,0,0,0,1,80
152,1,1636,332,422,0,0,0,1,81
152,1,1636,332,422,0,0,0,1,82
152,0,1637,332,422,0,0,0,0,83
